,        OAS,         SSA,         EUR,         NEU,         MEA,         REF,         CAZ,         CHA,         USA,         LAM,         IND,         JPN
OAS,       1,           1,           1,           1,           1,           1,           0,           0,           0,           1,           1,           1
SSA,       0,           1,           1,           0,           1,           0,           1,           1,           1,           1,           1,           1
EUR,       1,           1,           1,           1,           1,           1,           1,           1,           1,           1,           1,           0
NEU,       1,           1,           1,           0,           0,           0,           1,           1,           1,           1,           1,           1
MEA,       1,           1,           1,           1,           1,           1,           1,           1,           1,           0,           1,           1
REF,       1,           0,           1,           1,           1,           1,           1,           1,           1,           1,           1,           1
CAZ,       1,           1,           1,           1,           0,           1,           1,           1,           0,           1,           0,           1
CHA,       1,           1,           1,           1,           1,           1,           1,           1,           1,           0,           1,           1
USA,       0,           1,           1,           1,           1,           1,           1,           0,           1,           1,           0,           1
LAM,       1,           1,           1,           1,           0,           1,           1,           1,           0,           1,           1,           1
IND,       1,           1,           0,           0,           1,           1,           0,           1,           1,           1,           1,           1
JPN,       1,           1,           0,           1,           1,           0,           1,           1,           1,           1,           1,           1
